Timestamp,Area Total Pixels,Pixeles Lodo Detectado,Porcentaje Cobertura (%)
2025-12-30 14:10:11,2073600,831054.5,40.08
2025-12-30 14:10:11,2073600,813689.0,39.24
2025-12-30 14:10:11,2073600,822088.0,39.65
2025-12-30 14:10:11,2073600,830234.0,40.04
2025-12-30 14:10:11,2073600,813703.5,39.24
2025-12-30 14:10:11,2073600,804269.0,38.79
2025-12-30 14:10:11,2073600,816444.0,39.37
2025-12-30 14:10:11,2073600,827520.5,39.91
2025-12-30 14:10:11,2073600,828569.0,39.96
2025-12-30 14:10:11,2073600,844674.5,40.73
2025-12-30 14:10:11,2073600,844548.5,40.73
2025-12-30 14:10:12,2073600,843249.0,40.67
2025-12-30 14:10:12,2073600,859530.5,41.45
2025-12-30 14:10:12,2073600,859258.5,41.44
2025-12-30 14:10:12,2073600,849052.5,40.95
2025-12-30 14:10:12,2073600,840358.5,40.53
2025-12-30 14:10:12,2073600,839165.5,40.47
2025-12-30 14:10:12,2073600,810560.0,39.09
2025-12-30 14:10:12,2073600,816753.5,39.39
2025-12-30 14:10:12,2073600,795213.0,38.35
2025-12-30 14:10:12,2073600,800894.5,38.62
2025-12-30 14:10:12,2073600,777170.0,37.48
2025-12-30 14:10:13,2073600,772082.0,37.23
2025-12-30 14:10:13,2073600,764700.0,36.88
2025-12-30 14:10:13,2073600,586157.0,28.27
2025-12-30 14:10:13,2073600,580372.0,27.99
2025-12-30 14:10:13,2073600,550401.5,26.54
2025-12-30 14:10:13,2073600,551687.0,26.61
2025-12-30 14:10:13,2073600,552179.0,26.63
2025-12-30 14:10:13,2073600,558506.0,26.93
2025-12-30 14:10:13,2073600,558525.5,26.94
2025-12-30 14:10:13,2073600,559849.5,27.0
2025-12-30 14:10:13,2073600,554618.0,26.75
2025-12-30 14:10:14,2073600,554199.5,26.73
2025-12-30 14:10:14,2073600,573809.0,27.67
2025-12-30 14:10:14,2073600,582650.5,28.1
2025-12-30 14:10:14,2073600,579329.5,27.94
2025-12-30 14:10:14,2073600,591133.0,28.51
2025-12-30 14:10:14,2073600,599443.0,28.91
2025-12-30 14:10:14,2073600,627163.0,30.25
2025-12-30 14:10:14,2073600,614754.0,29.65
2025-12-30 14:10:14,2073600,621082.0,29.95
2025-12-30 14:10:14,2073600,638594.5,30.8
2025-12-30 14:10:14,2073600,631906.0,30.47
2025-12-30 14:10:15,2073600,648653.5,31.28
2025-12-30 14:10:15,2073600,645453.0,31.13
2025-12-30 14:10:15,2073600,664366.0,32.04
2025-12-30 14:10:15,2073600,670208.0,32.32
2025-12-30 14:10:15,2073600,684093.5,32.99
2025-12-30 14:10:15,2073600,665953.0,32.12
2025-12-30 14:10:15,2073600,667749.5,32.2
2025-12-30 14:10:15,2073600,697008.0,33.61
2025-12-30 14:10:15,2073600,671149.0,32.37
2025-12-30 14:10:15,2073600,685945.0,33.08
